date,new_orders,moving_avg_12
2018-12-01,235232.0,247892.5
2019-01-01,232934.0,247913.91666666666
2019-02-01,226025.0,248013.75
2019-03-01,249803.0,247928.91666666666
2019-04-01,249467.0,248323.58333333334
2019-05-01,255242.0,247862.66666666666
2019-06-01,245564.0,246932.08333333334
2019-07-01,244476.0,246394.08333333334
2019-08-01,247699.0,245252.25
2019-09-01,240693.0,244220.75
2019-10-01,244858.0,242886.5
2019-11-01,230985.0,241914.83333333334
2019-12-01,231473.0,241601.58333333334
2020-01-01,222335.0,240718.33333333334
2020-02-01,215931.0,239877.16666666666
2020-03-01,223079.0,237650.16666666666
2020-04-01,198215.0,233379.16666666666
2020-05-01,200777.0,228840.41666666666
2020-06-01,217511.0,226502.66666666666
2020-07-01,215475.0,224085.91666666666
2020-08-01,221588.0,221910.0
2020-09-01,223779.0,220500.5
2020-10-01,227591.0,219061.58333333334
2020-11-01,221385.0,218261.58333333334
2020-12-01,230739.0,218200.41666666666
2021-01-01,227054.0,218593.66666666666
2021-02-01,225493.0,219390.5
2021-03-01,258424.0,222335.91666666666
2021-04-01,254319.0,227011.25
2021-05-01,263453.0,232234.25
2021-06-01,275833.0,237094.41666666666
2021-07-01,269683.0,241611.75
2021-08-01,279609.0,246446.83333333334
2021-09-01,278613.0,251016.33333333334
2021-10-01,286553.0,255929.83333333334
2021-11-01,281844.0,260968.08333333334
2021-12-01,281634.0,265209.3333333333
2022-01-01,273359.0,269068.0833333333
2022-02-01,270306.0,272802.5
2022-03-01,319668.0,277906.1666666667
2022-04-01,307305.0,282321.6666666667
2022-05-01,323303.0,287309.1666666667
2022-06-01,331981.0,291988.1666666667
2022-07-01,309187.0,295280.1666666667
2022-08-01,321420.0,298764.4166666667
2022-09-01,311330.0,301490.8333333333
2022-10-01,318330.0,304138.9166666667
2022-11-01,301392.0,305767.9166666667
2022-12-01,290196.0,306481.4166666667
2023-01-01,287835.0,307687.75
2023-02-01,277415.0,308280.1666666667
2023-03-01,307198.0,307241.0
2023-04-01,291936.0,305960.25
2023-05-01,301682.0,304158.5
2023-06-01,302446.0,301697.25
2023-07-01,291862.0,300253.5
2023-08-01,316306.0,299827.3333333333
2023-09-01,305762.0,299363.3333333333
2023-10-01,306873.0,298408.5833333333
2023-11-01,293120.0,297719.25
2023-12-01,286533.0,297414.0
2024-01-01,282029.0,296930.1666666667
2024-02-01,284802.0,297545.75
2024-03-01,306871.0,297518.5
2024-04-01,305229.0,298626.25
2024-05-01,307738.0,299130.9166666667
2024-06-01,304204.0,299277.4166666667
2024-07-01,303791.0,300271.5
2024-08-01,310162.0,299759.5
2024-09-01,300376.0,299310.6666666667
2024-10-01,310338.0,299599.4166666667
2024-11-01,294173.0,299687.1666666667
2024-12-01,293098.0,300234.25
2025-01-01,287953.0,300727.9166666667
2025-02-01,279772.0,300308.75
2025-03-01,309165.0,300499.9166666667
2025-04-01,301184.0,300162.8333333333
2025-05-01,303973.0,299849.0833333333
2025-06-01,306474.0,300038.25
2025-07-01,304200.0,300072.3333333333
2025-08-01,306520.0,299768.8333333333
2025-09-01,303350.0,300016.6666666667
2025-10-01,306509.0,299697.5833333333
2025-11-01,289205.0,299283.5833333333
2025-12-01,292693.0,299249.8333333333
2026-01-01,282269.0,298776.1666666667
2026-02-01,281781.0,298943.5833333333
2026-03-01,323421.0,300131.5833333333
